,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,class
76,0.0137,,0.0116,,0.0241,0.0253,,,0.0489,,,0.1084,,,0.0601,0.0906,0.1313,,0.366,,0.581,,,0.4639,,0.7367,,,,,0.3349,0.0877,0.16,0.4169,0.6576,0.739,,,0.6795,0.4713,0.2355,0.1704,0.2728,0.4016,,,,0.179,,0.0276,,0.0081,,0.0025,,0.0058,0.0067,0.0035,,,1
77,,,0.1665,0.1496,,0.277,,0.1712,,,,,,0.2164,,0.258,,,0.3609,,,0.6572,,0.9757,0.8079,0.6521,0.4915,,0.7649,0.525,,0.4219,0.416,,0.0223,,,0.2483,0.2034,,,0.4463,,0.0807,,0.2134,0.3241,,,,,,,0.029,,0.0161,0.0177,0.0194,0.0207,,1
78,0.1021,,,,,0.1328,0.0988,,0.1199,0.1369,,0.2631,,0.2977,,,0.3956,,,,0.3184,0.2887,,,0.4106,,,0.7278,0.7591,0.6579,,0.6666,,,0.6552,0.4014,,,,,,,0.7517,,,,,,,,0.1004,,,0.0309,0.0252,0.0087,,0.0214,,0.0106,1
79,0.0068,,0.0513,0.0444,,,,,0.1911,,0.1606,,0.2398,,0.4295,0.2652,,0.1442,,,,0.3903,,0.8037,0.7026,0.6874,0.6997,,,0.9621,,,0.6902,0.5686,0.4396,,,0.1587,0.1681,,0.1173,,0.2728,0.1705,0.0194,,,,,,0.0199,,,0.0055,0.0045,0.0068,0.0041,,0.0194,0.0105,0
80,,0.0309,0.0169,0.0313,0.0358,0.0102,0.0182,0.0579,,,0.0548,0.0847,0.2026,0.2557,,0.2032,,0.2849,,0.7728,,0.8515,0.5312,,0.5973,0.8275,,,0.6301,,,0.2576,0.2817,0.2641,,0.2698,0.3994,0.4576,0.394,0.2522,,0.1354,0.0516,,,0.0861,0.0872,0.0445,0.0134,,0.0188,0.0133,0.0265,,,,,0.0092,,,0
81,,0.0437,,,,,,,0.1258,0.2529,0.2716,0.2374,0.1878,,0.0683,,0.1723,0.2339,0.1962,0.1395,0.3164,0.5888,0.7631,,,0.9986,0.9699,,0.863,0.6979,0.7717,,0.5197,,0.1098,0.1446,0.1066,0.144,,0.0325,,,0.0537,0.1309,,,,0.1005,,,,0.016,0.0029,,,,0.014,0.0138,0.0077,,1
82,0.0454,0.0472,0.0697,0.1021,0.1397,,0.1487,0.0771,,,,0.3323,,0.4296,0.535,0.5411,0.687,,,0.9169,,,0.9093,0.7918,,0.5324,,,,0.3775,0.3138,,0.2937,0.5234,,,,,,,,0.2634,0.298,,0.1155,0.0919,,,,0.0142,,,0.0042,0.0238,0.0129,0.0084,,,0.0154,0.0053,1
83,0.0286,,0.0277,0.0174,0.0384,0.099,0.1201,0.1833,0.2105,,0.2988,,,0.8198,,,0.9508,0.9025,,,0.2074,0.3985,,0.2872,,,,0.375,,,0.558,,0.3299,0.2198,,0.2856,0.3807,,0.4054,0.3296,,0.265,0.0723,0.1238,,0.1089,,0.0494,0.0264,0.0081,0.0104,,0.0014,,0.0013,0.0089,,0.0027,0.0051,0.0062,0
84,0.0197,0.0394,0.0384,0.0076,,0.0629,,,0.1357,,0.1734,,0.3141,,,0.2056,0.1162,0.1884,0.339,0.3926,0.4282,,0.6448,,0.7853,,0.8847,0.9582,,0.6831,,,0.5058,,0.2401,0.1405,0.1772,,0.3326,0.4021,0.3009,,,0.0255,0.0298,,,,0.0369,,0.0091,,0.0097,0.0042,0.0058,,0.0041,,0.0047,0.0054,1
85,,0.0444,,0.0698,,,,0.1071,,,,0.3035,,,,,0.2803,0.4519,,,,,0.2432,0.2886,,,1.0,0.9238,0.8519,0.7722,,,0.6824,,,,0.3809,,,0.2771,,,0.3453,0.2096,,,0.0701,,,0.0117,0.0122,0.0122,,,0.0027,,,0.005,0.0073,0.0022,1
86,,,,,0.0385,0.0534,,0.311,,,0.2707,0.0946,,,,0.6699,0.7066,0.5632,0.3785,0.2721,,,0.8643,,0.9372,0.6247,,0.681,0.5047,0.5775,0.4754,,0.2779,0.1997,0.5305,0.7409,0.7775,0.4424,,0.3508,,,,,,0.2798,,,,,0.0128,,0.0138,0.0079,,0.0051,,0.0102,0.0037,,0
87,,,,0.0487,0.0519,,,0.1833,0.2228,,,,0.2624,,,,,,,0.7686,,0.8493,,0.945,,0.8045,0.4969,,,0.5574,,,0.9425,0.8726,,0.4694,,,,0.5208,0.5177,0.3702,,0.0816,0.0395,0.0785,0.1052,,,0.0216,0.0167,,,,,,,0.007,,,1
88,,,0.0344,,,0.0443,,0.0903,0.1739,0.2571,0.2931,,,,0.2718,0.2007,0.1801,,,0.5492,0.7209,,,,0.9637,,0.9673,,0.7896,0.6345,0.5351,0.4056,,0.2894,,,0.4773,0.4516,,0.3051,,0.1184,0.1984,,0.066,,,0.0052,,0.0152,0.0125,0.0054,0.0057,,0.0109,,0.0056,0.0105,0.0082,0.0036,1
89,,,,0.0139,,,0.0906,0.0908,0.1151,0.0973,0.1203,,,,0.239,0.2138,,0.1765,0.0746,,0.2005,,0.2605,0.5386,0.844,,,,,0.4638,,0.2055,0.162,,0.31,,0.1058,,,0.1291,0.2241,0.1915,,,,,,,0.0357,,,,0.0044,0.0052,0.0073,,0.0047,,0.0009,,0
90,,0.0653,0.0397,,0.0496,0.1817,0.1178,0.1024,,,,0.3332,0.3087,0.2613,,0.3731,,,0.7062,0.8196,0.8835,,,,,,,,,0.0823,0.2787,,0.8032,0.805,,0.7468,0.6253,0.173,,,,0.4824,0.4004,0.3877,,0.0442,,0.0418,0.0475,0.0235,0.0066,,0.0129,0.0184,,0.0198,0.0199,0.0102,0.007,0.0055,0
91,,0.1278,,,,,,,0.6828,,0.4733,0.2362,0.1023,,,0.4659,0.1415,0.0849,,,,0.4856,0.1346,,,0.5609,0.3654,,0.547,,,,,0.6253,0.8497,0.8406,,0.9136,,0.4882,,0.4469,0.4586,,,0.4305,0.0945,0.0794,,0.0154,0.014,,,,0.0124,,0.0103,0.0205,0.0178,,1
92,0.0307,0.0523,0.0653,0.0521,,0.0577,0.0665,,,,,0.4992,,,,0.7339,0.823,0.9173,,,0.824,,0.598,,,0.1543,,0.0284,,,,0.293,,0.3998,,0.3172,0.4609,0.4374,,,0.6202,,,0.142,0.0589,0.0576,0.0672,,,0.019,0.0063,,0.0189,,,0.0152,,0.0121,,0.0055,1
93,,,,0.0456,,0.089,,,0.1598,0.1408,,,,,,,0.2164,0.3201,0.2915,0.4235,0.446,0.238,0.6415,,0.8918,0.7529,,,1.0,,0.5427,,,,,0.1558,,0.2161,0.5178,0.4782,0.2344,0.3599,,,0.0352,,0.0322,,,0.0088,0.0121,0.0067,,,0.0164,,0.007,,,,0
94,,,,0.0097,,,,,,0.1452,,0.0948,0.0618,0.1641,0.0708,0.0844,0.259,,,0.4678,0.5958,,0.8773,0.9214,0.9282,0.9942,,0.9071,,,0.6499,0.6071,,0.5967,0.6275,0.5459,0.4786,0.3965,,,,0.0652,0.0758,,,,,0.0379,0.0119,,,,0.0129,0.01,,,0.003,0.0035,0.0021,,0
95,0.0473,0.0509,,0.1252,0.1783,0.307,,0.2362,0.383,,0.3021,,,0.1411,,,,0.5964,0.6744,0.7969,,0.7813,0.8626,,0.4122,0.2596,,0.3788,0.4488,0.6281,0.7449,0.7328,,0.787,0.6048,0.586,0.6385,0.7279,0.6286,,,,0.1625,,0.1903,0.1643,,0.0209,0.0436,0.0175,,0.0193,,0.0064,,0.0054,,,,0.0027,0
96,,0.021,0.0282,0.0596,0.0462,0.0779,,0.078,,0.1567,0.2476,,0.2896,,0.3189,0.1892,0.173,0.2226,0.2427,,0.4102,0.3808,,0.6292,0.7519,0.7985,0.883,0.9915,,,,,0.3921,,0.2183,0.1245,0.1592,0.1626,0.2356,0.2483,0.2437,,,0.1157,,0.1883,0.1954,0.1492,0.0511,0.0155,,0.015,0.006,0.0082,0.0091,,0.0056,,,0.0024,1
97,,,,0.0108,0.0215,0.0136,,,,0.1015,,,,,0.1514,,0.1066,,0.2991,,0.3797,,0.7483,,0.9048,,,,,0.3773,,0.2628,,0.2907,0.1982,,,,0.2921,0.2806,,,,,0.185,,,,0.0445,0.011,,,,0.0113,0.0012,0.0022,0.0025,,0.0039,0.0048,0
98,0.0229,,,0.0375,0.0455,,0.2211,0.1188,,0.1631,,,,0.44,,0.7213,0.8137,,1.0,,,,,0.5146,,0.3443,0.6981,0.8713,0.9013,0.8014,,,0.1709,,,0.2312,0.1338,,,,0.161,,0.0351,,,0.0276,0.0763,,0.0309,,,0.0064,,0.0122,,,0.0026,,,0.0163,0
99,,0.0294,,0.0539,0.0794,,,,,0.0842,,,0.1705,,0.4602,,0.7327,,0.7988,0.8261,1.0,0.9814,0.962,,0.9118,,,,0.3474,,0.4633,,0.2849,,,0.0549,0.1192,,0.0855,0.1811,0.1264,0.0799,,0.1268,0.1125,0.0505,,0.0677,0.0259,0.017,0.0033,,0.0111,0.0032,,,0.0137,,0.0069,,0
100,0.0526,0.0563,,0.1206,0.0246,,0.0539,,,,,,,0.3361,,0.2285,,0.1316,,,0.5562,0.6379,0.6553,0.7384,0.6534,0.5423,0.6877,,0.7726,,0.8787,0.9108,,0.6092,0.7505,0.4775,,0.3749,,0.2106,,,,0.5245,,0.5123,,0.1499,0.0546,0.027,,,,0.0335,0.0376,,,,0.0364,,1
101,0.0291,,0.0771,,,0.1051,,0.0674,,,,0.0794,0.0252,,0.1045,,,0.269,,,0.347,0.1395,,0.2827,0.15,0.2626,0.4468,,0.9036,,,,,,,0.4572,0.6359,,,0.3253,,0.0653,,0.0,,,,0.0,0.0,,0.0,,,0.0204,0.005,,,0.0081,,0.0111,0
102,,0.0198,,0.0386,0.0752,0.1444,,0.1484,,,0.3691,,,0.3308,,,0.3446,,0.647,0.7276,,,0.8697,0.7836,,0.5698,,,0.6409,0.7405,0.8069,0.842,1.0,0.9536,0.6755,,,,,,0.7664,,0.2614,0.1723,,,,0.1502,,,0.0027,,,0.0031,,,0.0084,,0.0083,0.0033,1
103,,0.0116,,,0.0737,,,0.1541,,0.2912,0.2328,0.2237,0.247,0.156,,0.3308,0.2299,,,0.4128,0.3158,,0.5854,,0.2561,,,,,,0.593,,0.675,0.8697,0.7837,0.7552,0.5789,,,,0.7322,,,0.1803,,0.3424,,,,0.0469,,,,,,0.0048,,0.0015,0.0073,0.0067,0
104,0.0189,0.0308,0.0197,0.0622,0.008,0.0789,,,0.1789,,,0.371,,,,,,,,0.2631,0.7473,0.7263,,,0.6053,0.5897,0.4967,0.8616,0.8339,0.4084,,,,,0.304,,0.1605,0.2061,0.0734,,,,,0.1886,0.1008,,,0.0404,0.0108,0.0143,0.0091,0.0038,0.0096,,0.019,,,,0.0052,0.0075,0
105,0.0253,0.0808,0.0507,,,,0.3729,,,,,,0.5582,0.6916,0.7943,,,0.2008,,,0.528,0.3489,,,0.6338,,,,0.8073,0.831,0.7792,0.5049,,0.2767,,,0.1356,,0.2789,,0.2933,,,,,,,0.0198,0.0114,0.0151,0.0085,,,,0.0038,0.0116,0.0033,,0.0081,0.0053,0
106,0.0411,,,,0.0489,0.0385,,,,0.23,0.137,0.1335,,0.1526,0.0775,0.1196,,0.0689,0.2071,,0.2836,,,0.3202,,,0.3892,0.6622,0.9254,1.0,,,0.525,0.4012,0.2901,0.2007,0.3356,0.4799,,0.6246,0.4973,,0.2662,,0.4282,0.4262,0.3511,,0.1259,,,,,0.0019,,0.0132,0.0108,,,,1
107,0.0392,0.0108,,,0.041,0.0491,,,,0.2471,,0.3049,0.2863,,,,0.2062,0.2222,0.3241,0.433,,,,,,,0.988,0.9812,0.9464,,,,0.3828,0.3204,0.1331,0.044,,0.203,,0.1043,,,,0.1631,,0.0723,0.0912,,,,0.0089,0.0083,,0.0026,0.0079,0.0042,,,,0.0014,1
108,,,0.0277,,0.1218,0.1538,,,0.2119,0.2531,0.2855,,0.3341,,0.5205,0.6087,0.7236,,,0.8098,0.8995,0.9247,0.9365,,,1.0,0.9896,,0.7306,,,0.3719,,,0.0488,,0.2554,,0.1614,0.2232,,0.2293,0.2521,0.1464,0.0673,,0.1492,,,0.0193,,,0.0068,,0.0012,0.0133,,,,0.0074,1
109,,0.0821,0.0629,0.0608,,,0.0944,0.4223,0.5744,0.5025,,,,0.3087,0.4224,,,0.1884,,0.8321,1.0,,,0.1928,,0.379,0.2893,0.3451,,0.5213,,,0.4781,,0.6705,,0.7356,,,0.5259,,,0.2019,,0.4221,0.3067,0.1329,0.1349,0.1057,0.0499,0.0206,,0.0081,,,,,0.0201,,0.0041,1
110,0.0211,,0.0415,0.0286,,,0.1299,0.139,0.0695,0.0568,0.0869,,0.1478,,0.1994,,,,,,,,,,0.8099,0.8901,0.8745,0.7887,0.8725,0.9376,0.892,,,,0.9017,,,,,0.4057,0.3019,,,0.2298,0.2391,,0.1096,,0.0171,0.0383,,,0.0042,0.0153,0.0106,,,0.0049,,,0
111,0.0065,0.0122,0.0068,,0.0217,0.0284,,0.0575,,,0.0937,0.0827,0.092,0.0911,,,,,,0.1286,,,0.4238,,0.8167,0.9622,0.828,0.5816,,,,,0.1863,,0.236,0.1725,,0.0621,,0.2452,,0.3041,,,,0.1178,,,0.0276,,,0.0069,0.0025,,,,,0.0036,,0.0035,0
112,0.024,,0.0324,,0.033,0.0513,0.0897,0.0713,,,,,0.2906,0.2606,0.3811,0.4997,,,0.6791,0.7307,,0.4441,,,0.7781,0.8943,,,0.861,,0.554,,,,0.2467,0.5564,0.4681,,0.1582,,0.3321,,0.2666,0.1078,,0.1687,0.0738,0.0634,0.0144,0.0226,,,0.0146,,0.0112,,0.0054,,,0.0023,0
113,,,,,0.0721,0.1341,0.1626,,0.261,,0.3468,0.3738,0.3055,,,,,,,0.7154,0.801,,0.8793,1.0,0.9865,0.9474,,0.9315,,,,0.2822,0.2042,0.219,,0.1327,,,0.1416,0.146,,,,0.1916,0.2085,,0.1964,,,,0.0137,0.015,0.0076,,,0.0071,0.004,,,0.0085,1
114,,,0.0257,,,0.0612,,,,,,0.1209,0.1763,,0.2727,,0.2676,,,0.491,0.5402,0.6257,,,,,0.9928,,,0.6318,0.6126,0.4638,0.2797,,,,0.2735,,,,,,0.2121,0.1801,0.1473,0.0681,0.1091,0.0919,,,0.0076,0.0065,,,,0.0102,,0.0055,,0.0087,0
115,,0.0216,,,0.1158,0.1482,0.2054,0.1605,0.2532,0.2672,0.3056,0.3161,0.2314,0.2067,0.1804,,,,0.6601,0.5844,0.4539,0.4789,0.5646,0.5281,0.7115,1.0,,0.609,,0.4,,,,,0.1757,,,,,,,0.2813,,,,,,0.0141,0.0108,0.0124,,,0.0151,0.0059,,0.0053,,,,,1
116,,,,0.1408,,,,0.1401,0.2083,0.3513,,,,,0.5419,0.544,,0.4262,0.2024,0.4233,0.7723,,,0.5559,,0.6826,,,,0.2149,0.5811,0.6323,,,0.2969,0.5163,,0.4283,0.5479,,0.5017,,,,,,0.1124,,0.0507,0.0159,,,0.0248,,0.007,0.0138,,0.0143,,,0
117,0.0217,0.034,0.0392,,,,0.1398,,0.1147,0.1777,,,0.3973,,0.6509,,0.9819,1.0,0.9407,,,0.846,0.6212,0.5815,,0.8204,0.5601,,0.5009,0.6628,0.5753,,0.3746,0.3481,,,,0.1866,,0.2396,,0.2029,,,0.1669,,0.1829,0.1403,,0.0224,,,,0.0078,,0.0094,0.0031,,0.0013,,0
118,0.0293,,,,,0.0816,,0.0315,,0.086,0.0414,0.0472,,0.0938,,0.0809,,0.2179,,0.3258,0.2111,,0.3361,0.4259,,0.2606,,0.2862,0.5606,0.8344,,0.725,,,1.0,0.896,,0.3037,,,0.3318,0.3821,,0.2228,,,0.1634,,0.0567,0.0133,,,,,,0.0075,0.0105,0.016,,,0
119,0.0261,0.0266,,0.0749,,,,,0.1864,,,,0.351,0.3495,0.4325,0.5398,,,0.7329,,0.8396,0.8632,,0.9607,,0.9121,,,,0.5711,,0.286,0.3114,0.2066,,0.0185,,0.248,0.1637,0.1103,0.2144,,,0.137,0.1376,0.0307,0.0373,,,,0.0135,0.0222,0.0175,0.0127,0.0022,0.0124,,,0.0028,0.0023,1
120,0.0209,,,,,0.168,0.3016,0.346,0.3314,0.4125,0.3943,0.1334,0.4622,0.997,,,,0.7825,0.8789,,,,1.0,0.8975,,0.8321,0.6502,0.4548,0.4732,0.3391,,,0.0477,,0.1834,0.2148,0.1271,,,,,0.1195,,,0.1393,,0.1383,0.1321,,0.0325,0.0316,,,0.0085,,0.0101,0.0127,,,0.0023,1
121,0.0223,0.0375,0.0484,,,0.0591,,0.0098,0.0684,0.1487,0.1156,,0.3833,0.3598,,0.1136,,,,0.9925,,,,0.4286,0.3374,,,,0.4856,0.1594,,0.4096,,,0.3408,,,,0.168,,,,,0.1099,,,,0.1164,0.0777,,,0.0145,0.0128,,,,,0.0093,0.0059,,0
122,0.0177,,,,0.063,0.0526,,,,0.0613,0.168,0.3476,0.4561,0.5188,,0.7201,,,,,,,0.7389,0.9213,,,,,,,,0.4983,,0.3076,,,,,,0.0606,,,0.1643,0.1901,0.1107,,0.1467,0.0392,0.0356,0.027,0.0168,,,,,0.0124,0.0099,0.0057,,,0
123,0.0414,,,,,,0.2002,,,,0.2309,,0.3938,,0.5872,,,0.8006,,,0.8804,,0.7852,,,0.6433,,,0.3168,,0.2056,0.1032,,,0.4282,0.4538,,,,,0.438,0.4265,,0.2808,,,,0.0541,0.0177,0.0065,,,,,,0.0165,,0.0077,,,1
124,,,0.0135,0.0494,0.0253,0.0806,,,0.0117,,0.0289,0.1554,0.1437,,0.1424,,,0.2047,,,,0.1608,0.0667,0.1426,,,,,0.5206,0.5508,,,0.6764,,,,,,,,0.5102,,,,0.1421,0.0971,0.0879,0.0863,0.0355,,0.0252,0.0043,0.0048,,0.0124,0.0105,,0.0032,0.0073,0.0063,0
125,,,0.0388,,,,0.1608,0.2145,,0.0561,,0.0861,0.1531,0.1524,,,0.2009,0.2748,,0.2172,,0.5265,0.3647,,0.5161,,0.4006,0.365,0.6685,0.8659,0.8052,0.4082,0.3379,0.5092,,0.7313,,0.704,0.8849,0.8979,0.7751,,0.7733,0.7762,,,,,0.0956,0.0206,,0.0096,0.0153,,0.0131,,,0.0199,,0.018,0
126,,0.0324,0.0688,,0.1267,,,,0.2832,,,0.3934,0.3843,0.4677,,0.4823,,,,,0.6918,0.8633,,,0.7884,0.8585,,,0.5779,,0.4505,,,0.1046,0.182,,,0.1438,0.1986,0.2039,0.2778,0.2879,,0.114,,,0.0624,0.01,0.0098,,0.0152,0.0255,,,0.0079,,,,,0.0067,1
127,0.0368,,,,,,,,,,0.2936,,0.2657,,,,,0.1929,,,,0.3324,,0.4774,0.4808,,,,1.0,,,,,,0.194,,0.201,0.1736,0.1029,0.2244,,,,,,0.2187,,0.1477,,0.0224,,,,,0.0057,0.0092,0.0009,0.0086,,0.0052,1
128,,0.0615,0.065,,0.1615,,,0.2033,0.1459,0.0852,0.2476,,,,,,0.5638,,0.4348,,,0.1989,0.354,0.9165,,,0.2771,,,0.42,0.5192,0.6962,0.5792,0.8889,,0.7133,0.7615,0.4401,0.3009,,,,,,,0.1633,,,0.0452,,0.0154,,0.0153,0.0071,0.0212,0.0076,0.0152,0.0049,0.02,0.0073,0
129,0.0707,,0.1447,0.1644,,,0.0715,0.0947,,0.1247,0.234,,,0.3115,0.4725,0.5543,0.5386,0.3746,,0.5961,,,0.5711,,0.6695,,,,0.8477,0.9289,,,0.4362,0.4048,,0.1712,,,0.2841,,0.5331,0.6952,,0.3063,0.5835,0.5692,0.263,,,,0.0291,0.0156,,,,,,,,,1
130,0.0629,,,0.1229,,0.119,0.0884,0.0907,,,,0.5205,,,0.6558,0.8705,,,0.7917,0.7383,,0.385,0.0671,,0.2717,0.2839,,,0.0408,,,,0.2433,,,,,,,,0.1313,,,0.1626,0.0708,,0.0795,,,,0.0257,0.0089,0.0262,,,,,0.0057,0.0113,,1
131,,0.0707,,,,,0.0771,,0.5664,,,,,0.4347,,0.4579,0.3366,,,,0.9939,0.3689,0.1012,,0.2318,0.3981,0.2259,0.5247,0.6898,0.8316,0.4326,0.3741,,,0.7963,0.7174,0.7056,0.8148,0.7601,,,0.4729,,0.3722,0.4693,0.3839,0.0768,0.1467,,0.0469,0.0193,0.0298,0.039,0.0294,,0.0249,0.0141,0.0073,,0.0101,1
132,,,,0.0581,,0.0678,,,0.0974,0.1268,0.1109,0.2375,0.2007,0.214,0.1109,,,0.6682,0.8345,,,0.8982,,0.8515,,,,0.5669,0.5726,,0.7532,0.76,,0.412,,0.5569,0.1336,,0.4611,0.433,0.2556,,0.3489,,0.0944,,,,0.0719,,0.021,,,,0.0055,0.0073,0.008,0.0105,,0.0105,0
