,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,class
414,,,,,0.038,,121.0,,3.36,,12.6,0
415,6.4,,,10.3,0.042,,,,,0.47,9.2,1
416,,,,8.8,,,,0.9947,,0.34,,4
417,5.9,0.17,0.3,,,,119.0,,3.68,,,0
418,6.9,0.18,0.36,1.3,0.036000000000000004,40.0,,0.9934,3.27,0.95,9.5,2
419,,,0.16,,,,,,,,,3
420,,0.25,0.44,15.8,0.057,39.0,,0.9980399999999999,,,,1
421,,0.2,0.38,11.8,0.055,51.0,,1.0004,3.34,0.82,,0
422,,0.29,,1.1,,38.0,,0.98924,3.28,0.34,11.9,0
423,6.7,0.48,,2.9,,28.0,,0.98926,,,,0
424,,,0.36,8.2,0.027999999999999997,44.0,,0.99272,3.14,,12.4,0
425,,0.16,,12.6,,,,0.9994,,0.43,,1
426,,0.285,0.49,,,,137.0,,,,8.9,0
427,5.3,0.585,0.07,,0.044000000000000004,34.0,145.0,,3.34,0.57,,0
428,,0.21,,,0.039,47.0,136.0,0.9906799999999999,,,12.7,0
429,,,,5.7,0.11800000000000001,,,,3.24,,,0
430,,0.32,0.47,5.1,0.044000000000000004,19.0,65.0,0.991,,,,4
431,6.1,,,,0.094,,,,3.05,,,1
432,,0.29,0.45,14.3,0.054000000000000006,,,0.99869,,,9.1,1
433,6.8,0.14,,1.4,,30.0,90.0,,,,11.2,0
434,6.1,,0.32,1.1,0.034,24.0,110.0,,3.36,,,0
435,7.0,,,6.4,,,115.0,0.99235,,0.58,,2
436,,0.18,0.36,,,,117.0,,,,9.5,2
437,,0.24,,,0.038,,,0.99155,,0.66,11.7,2
438,6.8,,,,0.024,64.0,,0.98993,3.45,0.6,,3
439,,0.27,,2.4,0.048,,,0.9936,3.1,,,0
440,,,,2.2,,,108.0,0.9940000000000001,,0.45,9.5,1
441,,,,8.1,,,114.0,0.9941,,,,0
442,,,0.35,,0.05,,,0.99019,3.17,,,2
443,,0.45,,6.4,,20.0,102.0,,,0.27,,3
444,,0.31,,,0.036000000000000004,,,,,0.31,,2
445,,,,4.45,,33.0,130.0,0.9924,,0.42,,0
446,5.3,0.36,0.27,,,,,0.9918600000000001,3.37,0.4,11.6,0
447,,,0.37,,,,105.0,0.9958100000000001,,0.55,,0
448,7.7,0.34,0.27,,,39.0,184.0,,,0.63,9.2,0
449,,0.24,,1.3,0.037000000000000005,39.0,,,3.17,,11.2,3
450,,,,,,21.0,,,3.15,0.46,,2
451,5.3,0.3,0.16,,,37.0,100.0,0.9905,3.3,0.36,,3
452,,,0.24,8.6,0.034,25.0,,,3.33,0.59,,0
453,7.1,0.23,0.24,,,60.0,,,,0.78,10.0,4
454,,,0.26,,0.054000000000000006,47.0,182.0,0.9953799999999999,,0.5,,1
455,,0.34,0.36,,,13.0,,0.9921399999999999,,,9.8,1
456,,,0.25,,,30.0,,0.9879399999999999,3.08,0.43,13.2,0
457,,0.3,0.32,,0.044000000000000004,34.0,,,3.37,0.68,11.0,2
458,5.8,0.28,,,0.026000000000000002,,105.0,0.9896299999999999,,,,0
459,8.5,0.23,,9.9,0.036000000000000004,,88.0,0.9951,3.02,,10.5,0
460,6.4,,0.45,8.3,0.05,,196.0,0.9955,3.18,,,1
461,,,0.34,18.35,0.054000000000000006,,197.0,,3.22,,9.0,1
462,6.6,,,1.5,0.037000000000000005,,,,,0.68,,2
463,6.4,,,9.6,0.052000000000000005,,90.0,,3.35,,9.4,0
464,,0.28,0.19,,0.04,,,,,0.5,9.4,1
465,,,0.12,6.6,,,141.0,0.9937,,,,0
466,7.2,0.08,,,,,,,,,,0
467,6.2,0.66,,,,29.0,,0.9892,3.33,,12.8,3
468,,0.155,0.49,,,34.0,136.0,0.9926,3.14,,10.5,0
469,,,,,,27.0,77.0,,,0.36,,1
470,,0.23,,11.2,0.047,52.0,,0.9975799999999999,,,,1
471,,,,12.2,0.040999999999999995,,127.0,,,0.53,,2
472,7.6,0.18,,2.4,0.049,,123.0,,,,,1
473,6.8,,0.24,6.6,0.12300000000000001,35.0,116.0,0.9953,,0.48,9.4,1
474,,0.2,0.31,,,22.0,,,3.41,,9.8,0
475,7.4,0.22,0.27,,,45.0,98.0,,3.29,,9.9,2
476,6.8,0.37,0.47,,0.071,44.0,136.0,,,,,1
477,7.3,0.19,,,0.057,45.0,,,2.94,0.41,8.8,3
478,,,,9.9,,33.0,181.0,0.9955,3.04,,10.9,0
479,,0.21,0.37,,,,107.0,0.99206,2.98,,11.5,0
480,6.9,0.28,0.41,1.4,0.016,,,,3.16,0.4,13.4,1
481,6.8,,0.18,1.8,0.046,,114.0,0.99226,,0.55,,0
482,6.3,,0.26,12.0,0.049,,170.0,0.9961,,0.55,9.9,0
483,,0.23,,,,43.0,104.0,0.99054,3.02,0.52,11.3,0
484,,,,7.4,0.069,,,0.9954,,0.46,9.8,0
485,7.1,0.13,,15.5,,,,,,,9.7,2
486,6.8,0.15,0.41,,0.044000000000000004,79.5,,,,,,0
487,6.5,0.27,,6.6,0.045,98.0,175.0,,,,,0
488,6.7,,0.26,,0.034,39.0,,,2.99,0.3,,2
489,7.2,0.26,,,0.05,,,,,,8.8,1
490,5.9,0.18,,,,,,0.9909399999999999,,,,2
491,7.0,,0.29,15.2,,,,,3.22,,,1
492,6.8,0.32,,,0.026000000000000002,,,,,,12.1,0
493,,,0.39,1.4,,,102.0,,3.23,0.6,,2
494,,,0.17,12.9,0.033,,186.0,,,0.49,,1
495,7.2,0.21,,,0.033,38.0,,,,0.43,11.8,2
496,,0.26,,5.1,0.037000000000000005,23.0,,0.9944,3.29,,10.1,1
497,5.6,,0.19,7.1,0.048,,,0.9943799999999999,,0.41,9.5,0
498,,,0.28,,0.055,55.0,,0.9986,3.12,,,2
499,,,,,0.040999999999999995,34.0,121.0,0.99092,,,,0
500,,0.22,0.27,4.5,0.036000000000000004,,157.0,,,0.76,10.7,2
501,,0.27,,17.8,,16.0,116.0,0.9989,,0.53,9.2,1
502,7.2,,,12.4,,6.0,,0.9944,3.13,,,0
503,5.7,0.27,0.16,,0.053,,,,3.36,0.37,10.4,0
504,,0.3,0.23,,0.068,,138.0,0.99382,,,,1
505,8.5,,,9.25,,73.0,142.0,0.9945,3.05,0.37,,0
506,7.1,,0.31,,,55.0,252.0,1.0,3.07,,8.7,1
507,6.6,,,1.3,0.035,32.0,,0.9916,3.1,,10.7,0
508,6.8,0.18,0.38,,0.038,35.0,,,,,11.2,2
509,,0.26,,,,,182.0,0.99582,3.21,0.45,9.4,0
510,7.3,0.18,,17.3,0.055,32.0,,1.0002,3.13,,,0
511,,0.2,0.31,8.0,0.05,,,,3.28,,,0
512,,,,5.0,0.035,,126.0,0.9904799999999999,,,,2
513,,,,,,38.0,,0.99306,2.93,,11.9,0
514,9.2,,,,,39.0,130.0,,3.04,0.49,9.8,2
515,,,,,0.044000000000000004,29.0,110.0,,,,12.7,0
516,,0.16,,,0.035,,156.0,0.99666,2.88,,9.0,0
517,5.5,0.15,0.32,14.0,,16.0,,0.9943700000000001,,,11.5,3
518,6.9,0.22,0.43,,,,,,,0.51,10.8,0
519,8.4,,,,,,,,2.91,,11.4,4
520,7.7,0.31,0.26,7.8,,23.0,,,,0.5,,1
521,,0.17,,,,,33.0,0.9939,,,,5
522,,0.15,0.27,11.0,0.035,,,,3.12,,,0
523,7.3,0.26,,5.0,0.027999999999999997,32.0,107.0,0.9936,3.24,0.54,10.8,0
524,,,0.31,,,36.0,,,3.22,0.62,12.6,3
525,,0.32,0.33,,0.027000000000000003,35.0,,,3.37,,12.7,0
526,,,,1.4,,11.0,119.0,,3.17,,,4
527,,,0.31,,0.052000000000000005,,,0.9923,,,,1
528,,,,1.7,,,,0.9894,,,,0
529,,0.28,,11.9,,25.0,148.0,0.9976,,,,1
530,,0.2,,,,34.0,,,,0.44,,1
531,,,,,0.024,,,0.99208,3.05,0.54,,0
532,,0.17,,1.5,0.049,48.0,153.0,,,0.58,9.4,0
533,6.2,,0.21,6.3,,50.0,218.0,,3.15,0.6,,1
534,6.6,0.25,0.3,,0.046,,,0.993,,0.51,10.1,2
535,,0.21,,,,,133.0,0.9978,3.0,,8.7,1
536,,0.32,0.29,7.6,0.025,35.0,124.0,,,,12.8,2
537,7.3,0.29,0.3,,,,,,,0.41,,0
538,,,0.4,,,18.0,102.0,0.9923,,0.42,,2
539,,,,5.0,0.024,,,,,0.49,,1
540,,0.29,0.39,6.7,,6.0,117.0,,,,,1
541,,,0.58,16.65,0.049,48.0,,1.0006,3.2,0.62,,0
542,8.4,0.58,,,,37.0,,,,0.39,10.8,0
543,6.7,,0.29,5.0,,28.0,,,,0.44,10.2,2
544,,,0.26,5.1,0.051,16.0,119.0,0.99416,3.15,,9.2,1
545,,,,7.3,,30.0,,0.998,,0.61,,1
546,7.4,0.16,0.3,13.7,0.055999999999999994,33.0,,,2.9,0.44,8.7,2
547,7.3,,0.2,,,28.0,,,2.96,0.58,9.2,0
548,7.6,,0.12,,0.096,,,,3.32,0.45,9.1,4
549,,,,,0.04,5.0,47.0,,3.07,,10.1,4
550,,,0.34,1.3,0.042,,69.0,,,0.65,,2
551,,0.23,,8.5,0.057999999999999996,47.0,186.0,,3.19,0.4,,0
552,,0.21,,,,25.0,111.0,0.9916,3.13,0.41,10.7,0
553,,,,,0.054000000000000006,,,,,0.42,9.9,0
554,7.1,0.2,,1.5,0.049,,,0.99226,,,,1
555,8.2,0.42,,4.1,0.03,,,0.9911,,0.32,,2
556,6.2,0.45,0.73,7.2,,47.0,,0.99582,,,,1
557,6.7,0.41,,,0.033,,,0.9908600000000001,,0.34,,0
558,5.7,0.335,0.34,1.0,0.04,13.0,174.0,0.992,3.27,,,1
559,,,0.35,,,,186.0,,,,,2
560,6.8,,0.33,1.5,,,,0.9928,3.12,0.44,,0
561,,,,,,35.0,143.0,,,,,1
562,,,0.27,,0.024,,,,,,12.2,2
563,,,0.27,,0.03,,140.0,,3.16,0.42,,3
564,6.6,,,,0.039,,,0.99795,,,,2
565,6.0,,0.26,,,,,,,,,0
566,,,0.22,,0.047,,151.0,,3.22,0.47,10.3,1
567,6.9,,,1.8,,36.0,,0.9895200000000001,2.93,,12.0,0
568,,,0.18,6.4,0.08199999999999999,,240.0,0.9971,,0.48,9.2,1
569,,0.185,,7.1,0.048,,,,3.26,,9.5,0
570,5.6,,,1.4,,,,0.99174,,,10.2,0
571,,0.26,,,0.039,30.0,105.0,0.98995,,0.52,12.5,2
572,,,,1.2,,,158.0,0.99082,,0.58,,0
573,6.5,0.26,0.34,,0.04,,,0.99216,3.29,,,1
574,7.1,0.2,,,0.053,32.0,211.0,0.99587,,0.59,,0
575,,0.36,0.32,,0.036000000000000004,27.0,,0.9919600000000001,3.15,,,0
576,7.5,0.14,0.34,,0.055,,153.0,0.9945,3.29,0.8,,0
577,,,0.09,10.9,0.051,,,,,0.62,9.5,0
578,9.8,0.25,0.74,10.0,0.055999999999999994,36.0,225.0,0.9977,,,10.0,4
579,6.1,0.16,0.24,,0.046,,,0.99319,,0.57,10.3,0
580,5.9,0.54,,,,,,,,,,1
581,6.2,,,,0.036000000000000004,74.0,184.0,,3.22,,11.0,0
582,7.9,,,,,26.0,105.0,0.993,,,10.5,1
583,,0.24,,,0.046,,145.0,,,0.4,,1
584,7.0,0.48,0.12,,,,,,2.86,0.35,9.0,1
585,,,,1.2,0.063,35.0,92.0,0.9911,,,12.2,0
586,,,0.32,12.4,0.051,34.0,106.0,,,0.45,,0
587,,,,1.4,0.047,21.0,,,3.52,,,2
588,7.2,,0.28,14.4,,,205.0,,,0.38,,2
589,8.0,0.22,0.28,,0.053,83.0,,0.9981,,,9.8,0
590,,,,,,32.0,174.0,0.9992200000000001,3.19,,9.3,0
591,6.9,,,,,36.0,135.0,,3.16,0.72,10.7,2
592,6.8,0.3,,6.2,0.025,,,,3.03,0.32,12.9,2
593,,0.14,,5.9,,22.0,,,3.36,,,0
594,,0.25,,16.8,,,,1.0001,,,,0
595,,0.345,,1.9,0.043,15.0,,0.9936,,,9.5,1
596,,0.3,,3.5,,25.0,,,,,11.7,0
597,,,,,,,,0.9984799999999999,3.08,0.54,,1
598,,0.31,,,0.032,,,,,,11.1,1
599,,,0.3,,,28.0,,,3.18,0.49,,1
600,,0.22,,,0.038,,,,,0.37,,4
601,,0.43,,1.4,,10.0,,,3.08,0.41,11.4,1
602,6.5,0.24,,,0.040999999999999995,,111.0,0.99254,2.99,,,0
603,8.7,0.24,0.35,0.6,,11.0,,,,,,1
604,6.4,0.22,0.32,7.2,,15.0,,0.993,,0.55,10.9,3
605,,0.25,0.27,,,,154.0,0.9967,3.05,,9.0,1
606,,,,13.3,,53.0,,,,0.48,8.5,0
607,6.0,0.19,,1.2,0.046,,92.0,0.9903299999999999,,,11.3,0
608,,0.31,,,,,29.0,0.9906,,0.53,12.5,4
609,,,0.38,8.6,0.052000000000000005,41.0,,0.99534,3.06,,10.3,1
610,,,0.51,6.3,,,146.0,,3.1,1.01,10.5,0
611,,,0.44,9.3,0.031,,,0.9946,,,,0
612,4.7,0.335,0.14,,0.036000000000000004,69.0,,0.9921200000000001,3.47,,10.5,1
613,,0.265,0.28,7.8,0.052000000000000005,27.0,91.0,,,,,0
614,,,,,0.03,30.0,,,3.13,,,2
615,6.4,,0.37,4.85,0.040999999999999995,39.5,,0.9943200000000001,,0.5,,0
616,7.2,,,1.2,0.048,,,0.9919,,0.45,10.4,1
617,,0.23,0.82,,,,,,,0.42,9.2,0
618,,,0.39,,0.052000000000000005,,,,,0.4,10.4,0
619,7.5,,,2.6,0.037000000000000005,,125.0,,3.1,,,2
620,,0.17,,,0.04,39.0,118.0,,,,,3
621,,0.2,0.26,,,,161.0,0.9924,,0.66,11.0,1
622,,0.22,,10.4,0.043,63.0,,,,,,0
623,7.4,,,1.7,,,110.0,0.9926,,,10.9,1
624,7.8,,,10.4,,47.0,194.0,,,0.58,9.6,0
625,7.5,0.21,0.34,,,,111.0,0.9931,3.51,,,0
626,6.5,0.36,0.31,13.55,,,113.0,,,0.56,,0
627,,0.16,0.44,1.4,0.043,25.0,109.0,,3.11,0.75,10.3,0
628,,,0.26,,,11.0,,0.99106,3.06,,,0
629,,0.19,0.1,1.3,0.046,23.0,107.0,0.9937,,0.45,,1
630,6.5,0.14,0.32,2.7,0.037000000000000005,18.0,89.0,,,,,2
631,,,,2.0,,10.0,,0.9958,,0.46,,1
632,,,0.31,13.0,,46.0,217.0,0.9985,3.08,,8.8,1
633,6.9,,0.24,3.6,0.057,,,,2.99,0.48,9.5,4
634,6.4,0.23,0.35,,,43.0,147.0,,3.18,0.4,,2
635,,,,,,10.0,,,,0.46,,0
636,,,0.31,2.8,,,89.0,,2.96,0.45,,0
637,6.9,,,1.6,,,166.0,0.9965,3.65,0.52,9.4,4
638,,,,,0.03,,,0.9921200000000001,,,11.2,0
639,,,,,,29.0,,0.99177,,0.41,12.1,2
640,,0.36,,,,15.0,,,,0.39,11.0,1
641,,0.27,0.33,1.3,,,,,,0.44,12.4,0
642,6.0,0.32,0.3,,0.174,,,0.99519,3.18,0.49,9.4,1
643,8.4,,,18.8,0.027999999999999997,55.0,,0.998,,0.35,,1
644,6.1,,0.07,,0.069,,,0.9934,,0.52,9.2,1
645,,,0.4,7.5,0.04,50.0,151.0,,3.11,,11.4,0
646,,,,7.3,0.039,,104.0,0.9925200000000001,2.91,,,0
647,,0.615,,1.4,0.068,25.0,154.0,0.9949899999999999,,,,4
648,,,0.24,2.3,,60.0,,0.995,3.65,0.72,10.1,0
649,7.1,,0.3,0.9,,4.0,,,3.2,,,0
650,7.3,,,,,,79.0,,,,,0
651,,,0.5,2.6,0.049,17.0,155.0,,,0.64,10.0,0
652,,0.41,,5.4,0.035,,,,,,,2
653,6.9,0.15,0.29,2.3,0.033,,82.0,,,0.58,11.2,2
654,,,0.25,1.3,0.04,,,0.9898399999999999,,,,0
655,,0.28,0.3,12.9,,,,0.99479,,0.39,,0
656,6.6,0.2,0.14,4.4,0.184,35.0,,,,0.45,,0
657,,,0.3,1.4,,,,0.9910399999999999,3.11,,11.0,0
658,,0.28,0.33,,,47.0,,0.9994,,,,0
659,6.6,,0.32,,,,186.0,,,,12.4,3
660,6.5,0.19,0.27,4.9,0.037000000000000005,13.0,101.0,,,0.41,11.8,0
661,6.5,,0.36,0.8,0.034,32.0,,,,,,3
662,6.5,0.51,0.25,1.7,,39.0,177.0,0.9921200000000001,3.28,,,1
663,6.8,0.32,0.34,6.0,,5.0,129.0,0.9953,3.19,,9.1,1
664,5.7,0.2,,13.8,,,112.0,0.9983700000000001,,,,0
665,5.9,0.28,0.14,,,,,0.9954200000000001,3.28,,,0
666,,0.26,0.34,,,36.0,163.0,0.9937,3.19,0.7,11.5,0
667,,0.28,,,,,133.0,0.996,3.14,0.58,,1
668,6.8,0.18,0.37,,,37.0,93.0,0.992,,,,0
669,6.3,,0.24,3.4,,,119.0,0.9937299999999999,3.11,,,0
670,5.1,,,1.6,0.027000000000000003,,89.0,0.9893,,0.38,12.5,2
671,6.4,0.31,0.31,,,55.0,,0.99546,,,,1
672,,0.24,,,,,,,3.37,0.49,9.4,0
673,,,,13.9,,,,0.9980700000000001,2.94,0.41,,3
674,,,,11.4,,49.0,128.0,,3.03,,,3
675,,,,1.2,,,76.0,0.9892,,,,4
676,,,0.3,,,23.0,,,3.23,0.52,11.3,0
677,,,0.29,,0.045,,152.0,0.9917799999999999,3.76,,11.0,2
678,,,,,,,76.0,,2.98,0.49,,2
679,,,,14.2,0.055999999999999994,53.0,,0.9990000000000001,,,,3
680,5.2,,,,0.03,47.0,123.0,0.99218,3.55,,10.15,0
681,,,0.4,1.5,,35.0,,,3.46,0.5,,0
682,6.2,0.43,0.49,6.4,,,115.0,0.9963,3.27,0.57,,4
683,,0.33,0.32,,,11.0,200.0,0.9954,,,9.4,1
684,6.9,0.26,,4.2,,,114.0,0.9902,3.16,0.31,12.5,0
685,,0.26,0.25,,0.02,,57.0,0.9940000000000001,,0.37,10.6,1
686,7.4,0.56,,,0.071,19.0,117.0,,,0.53,9.8,1
687,7.0,0.24,0.3,,,,,,,,,0
688,,0.44,0.27,,,60.0,,0.9925700000000001,,0.36,,0
689,5.7,0.695,,6.8,0.042,9.0,84.0,0.9943200000000001,3.44,0.44,,1
690,7.4,0.35,,,,28.0,,,3.14,0.44,11.3,1
691,8.5,0.17,,3.6,,29.0,,,3.28,0.4,12.4,0
692,,,,,0.05,,129.0,,3.27,,11.1,2
693,,,0.33,,0.052000000000000005,23.0,,0.9938,3.23,0.46,10.4,0
694,,,,,0.032,29.0,,0.9918799999999999,,,,2
695,,,0.26,,,47.0,182.0,0.9953799999999999,3.12,0.5,,1
696,7.3,0.13,0.27,4.6,,,172.0,0.9938,,,,2
697,6.5,0.23,0.38,,0.032,,112.0,0.99298,3.29,0.54,,1
698,7.8,0.27,,,,21.0,,,,,9.9,1
699,,0.26,0.21,,0.07400000000000001,41.0,197.0,0.998,,0.5,,5
700,7.4,0.26,0.43,,,22.0,125.0,,3.13,,11.5,0
701,7.0,,0.4,1.1,0.057999999999999996,30.0,,0.9932200000000001,,0.38,9.2,0
702,7.0,0.23,,5.8,,,136.0,,,0.58,9.5,0
703,,0.27,0.31,1.5,,17.0,,,,,11.1,2
704,5.8,,0.24,1.3,0.044000000000000004,38.0,128.0,0.9936200000000001,3.77,0.6,10.6,1
705,5.6,,,,0.049,18.0,,,3.21,,,1
706,7.2,,0.49,,0.037000000000000005,,104.0,0.9924,,0.57,10.6,0
707,,,,,,41.0,166.0,0.995,3.2,,9.9,0
708,6.8,,,,,54.0,,,3.13,,,1
709,,,0.42,,0.05,35.0,,0.9999,,,8.8,1
710,,0.22,,20.8,,,,,,,9.0,0
711,,0.33,0.21,,0.053,39.0,148.0,0.9927,,,9.4,0
712,,0.26,,3.7,0.048,14.0,73.0,0.9915,3.06,0.45,11.4,0
713,7.3,0.23,0.37,1.8,,,,0.992,,,11.1,0
714,,0.36,0.33,,,,,,,,9.5,0
715,,,,18.35,0.084,,139.0,1.0011,3.17,,,1
716,,0.26,0.32,,0.045,,166.0,,3.38,0.46,,0
717,,,,12.1,0.045,38.0,127.0,0.9974,3.04,,8.9,0
718,,,,2.7,,42.0,144.0,,3.31,0.41,12.2,0
719,5.8,0.28,,,0.057999999999999996,,108.0,,3.23,0.58,9.55,4
720,8.0,0.34,0.25,,0.035,38.0,103.0,,2.91,0.23,12.2,0
721,6.9,,0.25,9.8,0.04,,191.0,,3.28,,,1
722,9.2,0.27,0.34,10.5,,49.0,,0.9974,,,,0
723,,,,,,33.0,,,2.9,,,2
724,,0.18,,,0.051,24.0,,0.997,3.19,0.44,,2
725,7.6,0.19,0.37,13.1,,,151.0,0.99726,3.18,0.79,,0
726,8.9,,,,0.032,,148.0,,3.15,0.45,,2
727,6.7,0.21,0.34,1.5,,,123.0,,,,12.6,2
728,6.6,0.28,0.41,,0.046,59.0,,,,0.48,,1
729,,0.2,,6.8,0.049,22.0,,0.9928,,,,0
730,,,0.3,14.2,0.055999999999999994,53.0,,,,,8.9,3
731,8.8,,0.3,5.0,0.027999999999999997,,120.0,,2.94,0.47,,1
732,,0.25,,,,29.0,,0.9946,3.15,0.6,,2
733,5.1,,0.06,,,30.0,,,,0.43,,1
734,10.2,,0.88,6.2,0.049,,,,,,9.9,4
735,6.5,0.25,,,,41.0,128.0,0.99636,,0.52,,0
736,7.0,0.21,0.31,6.0,0.046,,,0.9939,,,,0
737,9.0,0.2,0.33,,,10.0,40.0,0.9944,3.14,0.36,,0
738,6.0,,,,0.040999999999999995,37.0,,0.98944,3.22,0.39,12.8,2
739,,0.31,0.26,,,28.0,167.0,,3.37,0.47,10.4,0
740,,0.27,,5.0,0.035,,,0.9905799999999999,,,11.8,2
741,,,0.28,,0.042,36.0,168.0,,3.22,,9.5,0
742,10.0,0.91,,1.6,,,,,,0.46,10.0,4
743,7.1,0.21,0.28,2.7,,,,0.99405,,0.64,,4
744,,,0.49,,0.042,43.0,160.0,,3.13,,9.7,0
745,,,,,0.037000000000000005,,138.0,,3.23,0.43,,2
746,7.3,0.4,,6.5,,26.0,97.0,,,0.58,,2
747,5.2,0.37,,,0.027999999999999997,,,0.9902,3.37,0.38,,0
748,8.4,0.23,,1.3,,59.0,113.0,,3.1,,11.0,0
749,,,0.28,2.8,0.043,,67.0,,3.21,0.47,,0
750,7.0,0.17,,4.8,0.034,34.0,,,3.36,0.48,9.6,2
751,6.0,,,,0.063,,201.0,0.9964,,0.71,10.0,1
752,,0.43,0.37,10.0,0.16899999999999998,22.0,,0.9977600000000001,3.02,0.64,,1
753,5.5,,0.22,5.5,,,,,,,12.2,1
754,7.0,0.21,,,,37.0,221.0,0.9954,3.25,0.54,10.4,0
755,,,,14.3,,45.0,,,,0.63,9.2,1
756,,,0.37,,0.052000000000000005,,,,3.24,0.39,8.8,4
757,,,0.31,,0.045,,,,,,9.8,2
758,5.0,,,,0.015,20.0,98.0,0.9897,3.37,,,0
759,6.8,,0.17,,0.049,,82.0,,,,,0
760,8.8,,,,0.024,,87.0,0.9917,2.96,0.4,12.6,2
761,,,,,0.027999999999999997,13.0,,0.98975,,0.84,,3
762,6.0,,,5.0,0.157,17.0,129.0,0.9939600000000001,3.03,,9.3,1
763,7.2,,,5.6,,,120.0,0.99334,2.92,,10.3,2
764,,,0.29,,,,,,,0.37,9.8,1
765,,,0.12,4.7,,33.0,,,3.22,,8.9,1
766,,0.27,0.12,,0.04,,,,,0.41,,1
767,6.9,,0.28,,,,,0.99655,3.34,0.42,10.1,0
768,,,0.53,,0.049,,,0.99792,,0.45,,1
769,,0.32,0.42,,0.046,,186.0,0.9949,3.08,0.48,,1
770,6.6,0.28,,1.7,0.038,,101.0,,3.29,0.57,,0
771,6.8,,,,,,,,,,12.1,2
772,,0.18,,2.2,,,95.0,,3.07,,12.3,0
773,,,0.17,1.1,,7.0,119.0,0.99297,,,9.7,0
774,6.1,0.38,,1.4,,59.0,210.0,0.9930899999999999,3.24,0.5,,1
775,6.0,,0.26,6.8,,,,,3.15,0.42,,0
776,,,0.49,,0.042,,,,,,9.4,1
777,,0.28,,1.6,0.054000000000000006,31.0,,0.9917799999999999,,,10.7,1
778,6.9,0.2,,,,78.0,167.0,,,,10.2,0
779,,,0.03,1.2,0.064,29.0,,,3.22,,9.1,1
780,8.1,,0.43,,0.044000000000000004,,,,3.22,,11.0,0
781,6.3,0.32,,,,51.0,190.0,,,0.48,,0
782,,,,1.4,0.157,,132.0,,,,,0
783,6.3,,0.32,,,24.0,101.0,,,,,1
784,,0.34,0.29,5.2,,19.0,92.0,0.9913799999999999,2.95,0.39,,0
785,,,0.21,,,,,0.99384,3.15,,,0
786,,,0.34,8.9,,31.0,172.0,0.9964,,,,1
787,6.4,,,9.1,0.044000000000000004,35.0,127.0,0.99326,,0.3,,2
788,6.8,0.25,0.31,,0.05,69.0,,0.9972,3.22,0.48,,0
789,,0.31,0.31,4.9,0.031,,,,3.36,,12.0,2
790,5.6,0.35,0.37,,0.038,,,0.9902,,0.34,11.4,1
791,6.7,0.47,0.34,,0.043,,,,,0.6,9.2,1
792,,,,1.3,,11.0,70.0,,,,10.4,2
793,7.3,,0.54,,0.054000000000000006,,,,,0.49,,4
794,,,,,,47.0,,0.99,,,,2
795,,0.17,0.21,,0.036000000000000004,,,0.9939600000000001,3.18,,10.1,0
796,,0.26,0.24,,,23.0,,,3.3,,10.1,1
797,,0.42,0.34,2.4,,34.0,97.0,0.98915,,,12.8,2
798,,,,,,44.0,,,,,,3
799,,0.14,,1.2,,26.0,,0.992,3.26,0.53,10.3,0
800,6.5,0.31,0.14,,,,,0.9955,,,9.5,1
801,,,,,0.057999999999999996,39.0,133.0,,,0.58,,1
802,,0.3,0.44,18.5,,,224.0,0.99956,,0.53,9.1,1
803,7.1,0.32,,11.0,0.038,16.0,66.0,0.9937,3.24,,11.5,5
804,6.0,,0.4,,,,152.0,,3.16,,,0
805,6.9,0.24,,7.1,,,97.0,0.99246,,0.85,,0
806,,,,,0.043,,,0.9945,2.98,,,2
807,7.3,,,10.9,0.037000000000000005,,,0.997,3.4,0.5,9.6,0
808,,,,8.1,,47.0,181.0,,,,9.4,1
809,,0.17,,15.1,,28.0,,,,,,1
810,,0.17,0.3,2.8,,33.0,,,,,10.4,0
811,,,0.26,5.5,,21.0,99.0,0.99324,3.09,0.57,,0
812,7.7,0.34,,,,,117.0,,3.27,0.29,9.2,0
813,,0.18,0.3,,0.046,,,0.99413,,,9.3,1
814,,,,1.0,0.02,5.0,,0.9872200000000001,3.3,,13.6,1
815,8.7,,,13.8,,68.0,198.0,0.9988,3.36,0.37,,0
816,6.7,0.34,,15.6,0.054000000000000006,,,0.9982,3.19,,,1
817,,,0.25,,0.05,44.0,138.0,1.0001,,,,1
818,,0.3,0.32,,,23.0,,0.9919,2.93,,,0
819,6.5,,0.27,,0.049,,,,3.19,0.39,,1
820,,,,,0.042,,157.0,1.0002,,,9.1,1
821,,0.29,,,0.033,,208.0,,,0.46,,1
822,,0.18,,9.8,,,,,,0.45,10.9,2
823,,0.21,,1.5,0.046,,107.0,0.9912299999999999,3.15,0.45,11.3,0
824,6.5,,0.26,5.2,,,112.0,0.99067,,0.5,12.3,2
825,4.8,0.13,0.32,1.2,0.042,,98.0,0.9898,,0.64,11.8,2
826,7.5,,0.29,4.8,0.05,33.0,,,3.14,0.42,9.9,1
827,,,,,,64.0,157.0,,,,,5
828,,,,5.4,,31.0,122.0,0.9940000000000001,,,,3
829,,0.25,,9.2,0.034,,,0.9947,,,11.5,0
830,,,,,0.038,,,0.9924,3.36,0.35,,1
831,,,0.22,17.45,,42.0,,,3.12,0.6,,0
